Nombre,Rvir,?LOS,Mvir,Hz,A,Rmax rayos X,T,nelec,S,CC,R500,1/3 R500
ABELL_0085,2.65,1034,19.75,16.26,S,2.51E-01,7.51,2.66E-03,388,S,1.2103,0.403433333
ABELL_0119,2.082,853,9.51,15.77,S,4.91E-01,3.73,2.08E-03,281,N,0.9413,0.313766667
ABELL_0133,1.899,778,7.3,15.55,S,1.38E-01,4.55E+00,3.38E-03,1.95E+02,"S,s",0.9379,0.312633333
ABELL_0399,2.209,950,11.65,16.07,U,5.03E-01,6.09E+00,7.09E-04,7.77E+02,N,1.1169,0.3723
ABELL_0400,0.87,343,0.68,13.47,S,0.243,2,0.00208,125,N,0.6505,0.216833333
ABELL_0401,2.41,1026,15.11,16.26,S,0.502,10.5,0.000866,1040,N,1.2421,0.414033333
ABELL_0426,2.359,1029,13.5,16.22,P,1.16E-01,6.58E+00,1.27E-02,1.17E+02,"S,s",1.2856,0.428533333
ABELL_0496,1.822,712,6.31,15.31,S,8.03E-02,5.96E+00,5.62E-03,1.89E+02,"S,s",0.9974,0.332466667
ABELL_0539,1.557,698,3.92,15.26,S,3.14E-01,1.94E+00,1.56E-03,1.57E+02,N,0.7773,0.2591
ABELL_0576,2.202,866,11.18,15.8,S,1.79E-01,3.98E+00,3.98E-03,1.62E+02,W,0.8291,0.276366667
ABELL_0754,2.045,820,9.1,15.68,M,0.395,9.2,0.0035,375,N,1.1439,0.3813
ABELL_1060,1.574,678,3.99,15.17,P,5.61E-02,3.05E+00,1.28E-02,6.06E+01,W/S,0.7015,0.233833333
ABELL_1644,2.365,1008,14,16.19,P,2.94E-01,5.29E+00,3.23E-03,2.32E+02,"S,s",0.9944,0.331466667
ABELL_1650,1.903,723,7.55,15.4,U,2.79E-01,5.03E+00,4.10E-03,2.09E+02,W,1.1015,0.367166667
ABELL_1651,2.25,876,12.5,15.88,P,2.98E-01,6.02E+00,1.45E-03,5.20E+02,W,1.1252,0.375066667
ABELL_1736,1.075,386,1.3,13.78,S,2.72E-01,2.83E+00,1.99E-03,1.81E+02,N,0.9694,0.323133333
ABELL_1795,1.876,780,7.09,15.56,U,3.79E-01,6.67E+00,1.02E-03,6.82E+02,S,1.2236,0.407866667
ABELL_2029,1.931,931,7.82,16.02,U,5.00E-01,8.71E+00,7.34E-04,1.06E+03,"S,s",1.3344,0.4448
ABELL_2052,1.6,648,4.28,15.08,S,1.23E-01,3.55E+00,6.80E-03,9.89E+01,"S,s",0.9465,0.3155
ABELL_2063,1.809,762,6.18,15.48,P,2.89E-01,4.17E+00,1.68E-03,2.69E+02,W,0.902,0.300666667
ABELL_2065,2.504,1043,17,16.3,U,5.41E-01,8.26E+00,1.35E-03,6.14E+02,W,1.048,0.349333333
ABELL_2142,2.157,828,11.1,15.74,P,4.00E-01,1.09E+01,1.45E-03,8.49E+02,"W,s",1.3803,0.4601
ABELL_2147,2.466,935,15.7,15.99,M,1.99E-01,4.02E+00,1.15E-03,3.76E+02,N,0.9351,0.3117
ABELL_2151,1.999,768,8.35,15.5,M,7.52E-02,2.47E+00,3.36E-03,1.08E+02,,0.7652,0.255066667
ABELL_2199,1.907,779,7.21,15.53,P,1.04E-01,4.93E+00,0.015072,7.87E+01,"S,s",1.004,0.334666667
ABELL_2204,2.588,1101,20.3,16.51,S,1.05E+00,2.80E+00,7.15E-04,4.01E+02,"S,s",1.3998,0.4666
ABELL_2244,2.546,1161,18.3,16.6,U,3.19E-01,5.50E+00,5.33E-03,1.80E+02,W,1.1295,0.3765
ABELL_2255,2.47,1000,16.4,16.2,S,7.26E-01,4.11E+00,1.35E-03,3.51E+02,N,1.0678,0.355933333
ABELL_2256,2.683,1222,20.6,16.68,S,0.501,5.12,0.00336,253,S,1.1224,0.374133333
ABELL_3112,1.98,705,8.45,15.33,S,0.247,5.27,0.00363,221,N,1.1288,0.376266667
ABELL_3158,2.353,1066,13.9,16.34,S,4.78E-01,4.15E+00,2.62E-03,2.24E+02,N,1.0667,0.355566667
ABELL_3391,1.936,817,7.74,15.67,U,4.63E-01,5.64E+00,2.43E-03,3.20E+02,N,0.8978,0.299266667
ABELL_3395,1.823,746,6.42,15.44,M,2.01E-01,5.57E+00,2.48E-03,3.20E+02,N,0.9298,0.309933333
ABELL_3526A,1.34,564,2.43,14.71,P,0.0637,4,0.0116,78.4,"W,s",0.826,0.275333333
ABELL_3558,2.46,955,15.75,16.06,P,0.17141,6.1588,0.0061044,191.21,"S,s",1.101,0.367
ABELL_3562,1.55,594,3.94,14.87,U,0.14948,4.6631,0.0013306,379.77,W,0.9265,0.308833333
ABELL_4038,1.79,753,5.95,15.45,S,0.201,2.7847,0.0015645,208.29,"S,s",0.8863,0.295433333
MKW3S,1.49,607,3.46,14.92,U,3.90E-01,1.62E+00,1.33E-03,1.68E+02,,,0
