Name,σLOS,Rvir,Mvir,A,Hz,CC,R X-ray (1/3 R500),nelec,Sx,Tx
ABELL_0085,1421.408112,1.825519973,6.477442777,S,17.05775691,S,2.51E-01,2.66E-03,3.88E+02,7.51E+00
ABELL_0119,1297.163467,1.543787718,3.875048224,S,16.81819675,N,3.17E-01,9.33E-04,6.20E+02,6.17E+00
ABELL_0133,886.9429955,1.212289074,1.899973064,S,15.88027787,"S,s",1.38E-01,3.38E-03,1.95E+02,4.55E+00
ABELL_0399,1550.744798,1.743524426,5.729002517,U,17.29055965,N,3.74E-01,1.03E-03,6.57E+02,6.69E+00
ABELL_0400,355.0173302,0.581340229,0.203072483,S,13.55999899,N,2.17E-01,8.49E-04,2.38E+02,2.04E+00
ABELL_0401,1349.01324,1.805313127,6.379602302,S,16.94524276,N,4.15E-01,1.11E-03,7.72E+02,8.25E+00
ABELL_0426,1232.347439,1.661068165,4.7104553,P,16.66560974,"S,s",1.16E-01,1.27E-02,1.17E+02,6.58E+00
ABELL_0496,670.1560019,1.052512355,1.215788132,S,15.15714625,"S,s",8.03E-02,5.62E-03,1.89E+02,5.96E+00
ABELL_0539,964.6351777,1.144464257,1.556867987,S,16.06375863,N,2.59E-01,8.46E-04,2.78E+02,2.45E+00
ABELL_0576,879.4200884,1.252216076,2.057566941,S,15.84145389,W,1.79E-01,3.98E-03,1.62E+02,3.98E+00
ABELL_0754,953.3402725,1.434192533,3.139273075,M,16.0586325,N,3.80E-01,1.65E-03,5.60E+02,8.20E+00
ABELL_1060,742.2668441,1.013823919,1.066599219,P,15.39407706,W/S,5.61E-02,1.28E-02,6.06E+01,3.05E+00
ABELL_1644,822.7634668,1.231582945,1.974539201,P,15.68362356,"S,s",2.94E-01,3.23E-03,2.32E+02,5.29E+00
ABELL_1650,708.9541299,1.157722993,1.699827076,U,15.34715566,W,2.79E-01,4.10E-03,2.09E+02,5.03E+00
ABELL_1651,1026.096088,1.421634415,3.150339121,P,16.27239765,W,2.98E-01,1.45E-03,5.20E+02,6.02E+00
ABELL_1736,277.647836,0.49356691,0.125659432,S,12.9565119,N,2.72E-01,1.99E-03,1.81E+02,2.83E+00
ABELL_1795,842.0937817,1.230560702,1.998178336,U,15.75607212,S,3.79E-01,1.02E-03,6.82E+02,6.67E+00
ABELL_2029,1163.81821,1.237607835,2.060353908,U,16.57850779,"S,s",3.79E-01,1.02E-03,6.82E+02,6.67E+00
ABELL_2052,696.6772184,1.082739286,1.326436635,S,15.25633649,"S,s",0.123,0.006796,98.939,3.5531
ABELL_2063,747.2903656,1.111478655,1.43401567,P,15.43105695,W,2.89E-01,1.68E-03,2.69E+02,4.17E+00
ABELL_2065,1296.247247,1.607074929,4.497599899,U,16.84488583,W,0.34911,0.00036816,1069.7,5.6467
ABELL_2142,1038.77639,1.585424636,4.393248568,P,16.30852646,"W,s",0.4,0.0014546,848.79,10.902
ABELL_2147,971.5895939,1.279255435,2.188563673,M,16.08826202,N,0.199,0.00115,376,4.0223
ABELL_2151,753.6186818,1.047111333,1.198777898,M,15.4519306,,7.52E-02,3.36E-03,1.08E+02,2.47E+00
ABELL_2199,930.7626197,1.333032989,2.464536701,P,15.97616163,"S,s",0.10439,0.015072,78.697,4.9312
ABELL_2204,1346.287574,2.080424731,10.56360125,S,17.01898086,"S,s",0.47082,0.00097694,909.23,8.8009
ABELL_2244,1270.59197,1.625095597,4.772962222,U,16.82088015,W,0.319,0.0053281,179.97,5.503
ABELL_2255,1413.882156,1.861690324,7.046416192,S,17.06981833,N,0.35176,0.0010219,621.75,5.9634
ABELL_2256,1380.80668,1.823891133,6.476227858,S,16.98779698,S,0.37567,0.0015065,490.22,6.3711
ABELL_3112,701.3850721,1.149677867,1.647525308,S,15.3099891,N,2.47E-01,3.63E-03,2.21E+02,5.27E+00
ABELL_3158,1098.785283,1.477602188,3.447251492,S,16.41773424,N,0.35414,0.0011177,440.85,4.7137
ABELL_3391,714.5447607,1.07348806,1.317743716,U,15.33881291,N,0.33737,0.0010232,516.81,5.7215
ABELL_3395,751.278978,1.623359831,4.534565619,M,15.45919551,N,0.201,0.0024785,319.76,5.5694
ABELL_3526A,598.3364562,0.629919852,0.255219054,P,14.85275555,"W,s",6.37E-02,1.16E-02,7.84E+01,4.00E+00
ABELL_3558,1024.115382,1.489847702,3.496640732,P,16.23125969,"S,s",0.17141,0.0061044,191.21,6.1588
ABELL_3562,593.078932,0.905091769,0.784669616,U,14.86650051,W,0.14948,0.0013306,379.77,4.6631
ABELL_4038,701.6712656,1.008371886,1.065895727,S,15.26898441,"S,s",0.201,0.0015645,208.29,2.7847
MKW3S,607,1.49,3.46,U,14.92,,,,,
