Name,R X-ray,nelec,Tx,S,Dvel,Rvir,Mvir,Hz,A,CC
ABELL_0085                ,0.251,0.00266,7.51,388,1421.408112,1.825519973,6.477442777,17.05775691,S,S
ABELL_0119                ,0.317,0.000933,6.17,620,1297.163467,1.543787718,3.875048224,16.81819675,S,N
ABELL_0133                ,0.138,0.00338,4.55,195,886.9429955,1.212289074,1.899973064,15.88027787,S,"S,s"
ABELL_0399                ,0.374,0.00103,6.69,657,1550.744798,1.743524426,5.729002517,17.29055965,U,N
ABELL_0400                ,0.217,0.000849,2.04,238,355.0173302,0.581340229,0.203072483,13.55999899,S,N
ABELL_0401  ,0.415,0.00111,8.25,772,1349.01324,1.805313127,6.379602302,16.94524276,S,N
ABELL_0426                ,0.116,0.0127,6.58,117,1232.347439,1.661068165,4.7104553,16.66560974,P,"S,s"
ABELL_0496                ,0.0803,0.00562,5.96,189,670.1560019,1.052512355,1.215788132,15.15714625,S,"S,s"
ABELL_0539                ,0.259,0.000846,2.45,278,964.6351777,1.144464257,1.556867987,16.06375863,S,N
ABELL_0576                ,0.179,0.00398,3.98,162,879.4200884,1.252216076,2.057566941,15.84145389,S,W
ABELL_0754                ,0.38,0.00165,8.2,560,953.3402725,1.434192533,3.139273075,16.0586325,M,N
ABELL_1060                ,0.0561,0.0128,3.05,60.6,742.2668441,1.013823919,1.066599219,15.39407706,P,W/S
ABELL_1644                ,0.294,0.00323,5.29,232,822.7634668,1.231582945,1.974539201,15.68362356,P,"S,s"
ABELL_1650                ,0.279,0.0041,5.03,209,708.9541299,1.157722993,1.699827076,15.34715566,U,W
ABELL_1651                ,0.298,0.00145,6.02,520,1026.096088,1.421634415,3.150339121,16.27239765,P,W
ABELL_1736                ,0.272,0.00199,2.83,181,277.647836,0.49356691,0.125659432,12.9565119,S,N
ABELL_1795                ,0.379,0.00102,6.67,682,842.0937817,1.230560702,1.998178336,15.75607212,U,S
ABELL_2029                ,0.45,0.0010784,8.42,800.59,1163.81821,1.237607835,2.060353908,16.57850779,U,"S,s"
ABELL_2052                ,0.123,0.006796,3.5531,98.939,696.6772184,1.082739286,1.326436635,15.25633649,S,"S,s"
ABELL_2063                ,0.289,0.00168,4.17,269,747.2903656,1.111478655,1.43401567,15.43105695,P,W
ABELL_2065                ,0.34911,0.00036816,5.6467,1069.7,1296.247247,1.607074929,4.497599899,16.84488583,U,W
ABELL_2142                ,0.4,0.0014546,10.902,848.79,1038.77639,1.585424636,4.393248568,16.30852646,P,"W,s"
ABELL_2147                ,0.199,0.00115,4.0223,376,971.5895939,1.279255435,2.188563673,16.08826202,M,N
ABELL_2151                ,0.0752,0.00336,2.47,108,753.6186818,1.047111333,1.198777898,15.4519306,M,
ABELL_2199                ,0.10439,0.015072,4.9312,78.697,930.7626197,1.333032989,2.464536701,15.97616163,P,"S,s"
ABELL_2204                ,0.47082,0.00097694,8.8009,909.23,1346.287574,2.080424731,10.56360125,17.01898086,S,"S,s"
ABELL_2244                ,0.319,0.0053281,5.503,179.97,1270.59197,1.625095597,4.772962222,16.82088015,U,W
ABELL_2255                ,0.35925,0.0010076,5.7849,611.01,1413.882156,1.861690324,7.046416192,17.06981833,S,N
ABELL_2256                ,0.37567,0.0015065,6.3711,490.22,1380.80668,1.823891133,6.476227858,16.98779698,S,S
ABELL_3112,0.247,0.00363,5.27,221,701.3850721,1.149677867,1.647525308,15.3099891,S,N
ABELL_3158                ,0.35414,0.0011177,4.7137,440.85,1098.785283,1.477602188,3.447251492,16.41773424,S,N
ABELL_3391                ,0.29988,0.0011347,5.1468,489.16,714.5447607,1.07348806,1.317743716,15.33881291,U,N
ABELL_3395                ,0.201,0.0024785,5.5694,319.76,751.278978,1.623359831,4.534565619,15.45919551,M,N
ABELL_3526,6.37E-02,1.16E-02,4.00E+00,7.84E+01,598.3364562,0.629919852,0.255219054,14.85275555,P,"W,s"
ABELL_3558                ,0.17141,0.0061044,6.1588,191.21,1024.115382,1.489847702,3.496640732,16.23125969,P,"S,s"
ABELL_3562                ,0.14948,0.0013306,4.6631,379.77,593.078932,0.905091769,0.784669616,14.86650051,U,W
ABELL_4038                ,0.201,0.0015645,2.7847,208.29,701.6712656,1.008371886,1.065895727,15.26898441,S,"S,s"
