Name                     ,Rin             ,Rout            ,nelec           ,neerr           ,Kitpl           ,Tx              ,Txerr           ,Dvel,Rvir,Mvir,A,Hz
ABELL_0085                ,9.7240e-02      ,1.0236e-01      ,5.6468e-03      ,2.8123e-04      ,1.7743e+02      ,5.7058e+00      ,2.7838e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,5.1200e-03      ,1.0240e-02      ,6.3456e-02      ,4.4849e-04      ,1.6506e+01      ,3.1700e+00      ,9.0000e-02      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.0236e-01      ,1.0747e-01      ,5.7712e-03      ,3.1316e-04      ,1.7948e+02      ,5.8527e+00      ,2.9149e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.0747e-01      ,1.1259e-01      ,5.6813e-03      ,2.9360e-04      ,1.8602e+02      ,5.9996e+00      ,3.0461e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.1259e-01      ,1.1771e-01      ,5.4636e-03      ,2.5961e-04      ,1.9544e+02      ,6.0821e+00      ,3.1147e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.1771e-01      ,1.2283e-01      ,4.9245e-03      ,3.5005e-04      ,2.1079e+02      ,6.1196e+00      ,3.1397e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.2283e-01      ,1.2794e-01      ,4.9236e-03      ,2.7092e-04      ,2.1214e+02      ,6.1571e+00      ,3.1647e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.2794e-01      ,1.3306e-01      ,4.5660e-03      ,2.6397e-04      ,2.2448e+02      ,6.1945e+00      ,3.1897e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.3306e-01      ,1.3818e-01      ,4.7822e-03      ,3.0721e-04      ,2.1923e+02      ,6.2535e+00      ,3.2561e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.3818e-01      ,1.4330e-01      ,4.4420e-03      ,2.3616e-04      ,2.3305e+02      ,6.3275e+00      ,3.3516e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.4330e-01      ,1.4842e-01      ,3.9350e-03      ,2.5726e-04      ,2.5566e+02      ,6.4015e+00      ,3.4471e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.0240e-02      ,1.5350e-02      ,4.0358e-02      ,4.0907e-04      ,2.5107e+01      ,3.3326e+00      ,1.0060e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.4842e-01      ,1.5353e-01      ,4.1892e-03      ,2.6257e-04      ,2.4809e+02      ,6.4754e+00      ,3.5424e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.5353e-01      ,1.5865e-01      ,3.6654e-03      ,2.2207e-04      ,2.7435e+02      ,6.5529e+00      ,3.6520e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.5865e-01      ,1.6377e-01      ,3.6485e-03      ,2.4457e-04      ,2.7865e+02      ,6.6361e+00      ,3.7833e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.6377e-01      ,1.6889e-01      ,3.9255e-03      ,2.2661e-04      ,2.6868e+02      ,6.7192e+00      ,3.9145e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.6889e-01      ,1.7400e-01      ,2.7667e-03      ,2.1040e-04      ,3.4342e+02      ,6.8023e+00      ,4.0457e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.7400e-01      ,1.7912e-01      ,3.4251e-03      ,2.0960e-04      ,3.0147e+02      ,6.8853e+00      ,4.1768e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.7912e-01      ,1.8424e-01      ,3.3269e-03      ,2.0451e-04      ,3.1101e+02      ,6.9640e+00      ,4.2674e-01      ,1045,2.668,20.2,S,16.26
ABELL_0085                ,1.8424e-01      ,1.8936e-01      ,2.7067e-03      ,2.2371e-04      ,3.6098e+02      ,7.0418e+00      ,4.3492e-01      ,1045,2.668,20.2,S,16.26
