#Name                     ,Rin             ,Rout            ,nelec           ,neerr           ,Kitpl           ,Kflat           ,Kerr            ,Tx              ,Txerr           ,Dvel,Rvir,Mvir,A,Hz
ABELL_0085                ,2.4565e-01      ,2.5077e-01      ,2.6585e-03      ,1.7756e-04      ,3.8799e+02      ,3.8799e+02      ,2.8776e+01      ,7.5053e+00      ,4.2714e-01      ,1045,2.668,20.2,S,16.26
ABELL_0119                ,4.8849e-01      ,4.9149e-01      ,2.0829e-03      ,3.5433e-04      ,2.8118e+02      ,2.8118e+02      ,4.6815e+01      ,3.7288e+00      ,3.4782e-01      ,853,2.082,9.51,S,15.77
ABELL_0133                ,1.3306e-01      ,1.38E-01,3.3842e-03      ,1.8331e-04      ,1.9496e+02      ,1.9496e+02      ,1.0475e+01      ,4.5501e+00      ,1.8325e-01      ,778,1.899,7.3,S,15.55
ABELL_0399                ,4.9654e-01      ,5.0298e-01      ,7.0946e-04      ,6.6990e-05      ,7.7744e+02      ,7.7744e+02      ,8.6484e+01      ,6.0850e+00      ,5.5181e-01      ,950,2.209,11.7,U,15.55
ABELL_0400                ,2.4064e-01      ,2.4302e-01      ,2.0847e-03      ,1.0143e-05      ,1.2464e+02      ,1.2464e+02      ,1.0130e+01      ,1.9994e+00      ,2.1948e-01      ,343,0.87,0.68,S,13.47
ABELL_0426                ,1.1455e-01      ,1.16E-01,1.2686e-02      ,3.4613e-05      ,1.1747e+02      ,1.1747e+02      ,1.3045e+00      ,6.5781e+00      ,7.0000e-02      ,1029,2.359,13.5,P,16.22
ABELL_0496                ,7.7250e-02      ,8.03E-02,5.6211e-03      ,1.7291e-04      ,1.8928e+02      ,1.8928e+02      ,2.3884e+01      ,5.9637e+00      ,7.4027e-01      ,712,1.822,6.31,S,16.22
ABELL_0539                ,3.1272e-01      ,3.1386e-01      ,1.5614e-03      ,1.0503e-04      ,1.5729e+02      ,1.5729e+02      ,1.9032e+01      ,1.9406e+00      ,2.0946e-01      ,698,1.557,3.92,S,15.26
ABELL_0576                ,1.7660e-01      ,1.7923e-01      ,3.9810e-03      ,9.6920e-05      ,1.6224e+02      ,1.6224e+02      ,7.0957e+00      ,3.9802e+00      ,7.7856e-02      ,866,2.202,11.2,S,15.8
ABELL_0754                ,3.9020e-01      ,3.9540e-01      ,3.5044e-03      ,4.0852e-05      ,3.7450e+02      ,3.7450e+02      ,4.2424e+01      ,9.2047e+00      ,9.2695e-01      ,820,2.045,9.1,M,15.68
ABELL_1060                ,5.54E-02,5.61E-02,1.2847e-02      ,9.4654e-05      ,6.0598e+01      ,6.0598e+01      ,3.9021e+00      ,3.0517e+00      ,2.0151e-01      ,678,1.574,3.99,P,15.17
ABELL_1644                ,2.9125e-01      ,2.94E-01,3.2306e-03      ,5.2236e-05      ,2.3237e+02      ,2.3237e+02      ,3.3932e+01      ,5.2856e+00      ,7.9036e-01      ,1008,2.365,14,P,16.19
ABELL_1650                ,2.7313e-01      ,2.79E-01,4.0978e-03      ,9.5909e-05      ,2.0906e+02      ,2.0906e+02      ,1.5259e+01      ,5.0276e+00      ,2.2499e-01      ,723,1.903,7.55,U,15.4
ABELL_1651                ,2.9090e-01      ,2.98E-01,1.4530e-03      ,1.8383e-04      ,5.1999e+02      ,5.1999e+02      ,7.9369e+01      ,6.0208e+00      ,6.9864e-01      ,876,2.25,12.5,P,15.88
ABELL_1736                ,2.6535e-01      ,2.72E-01,1.9918e-03      ,1.0681e-04      ,1.8127e+02      ,1.8127e+02      ,1.8252e+01      ,2.8261e+00      ,2.8755e-01      ,386,1.075,1.3,S,13.78
ABELL_1795                ,3.7374e-01      ,3.7941e-01      ,1.0158e-03      ,2.2848e-04      ,6.8242e+02      ,6.8242e+02      ,1.2252e+02      ,6.6689e+00      ,6.6104e-01      ,780,1.876,7.09,U,15.56
ABELL_2029                ,4.9329e-01      ,5.0015e-01      ,7.3435e-04      ,6.7136e-05      ,1.0636e+03      ,1.0636e+03      ,1.0625e+02      ,8.7117e+00      ,6.8017e-01      ,931,1.931,7.82,U,16.02
