#NamE                     ,Rout            ,nElEc           ,Kitpl           ,Tx              
ABELL_0085                ,2.5077E-01      ,2.6585E-03      ,3.8799E+02      ,7.5053E+00      
ABELL_0119                ,4.9149E-01      ,2.0829E-03      ,2.8118E+02      ,3.7288E+00      
ABELL_0133                ,1.38E-01,3.3842E-03      ,1.9496E+02      ,4.5501E+00      
ABELL_0399                ,5.0298E-01      ,7.0946E-04      ,7.7744E+02      ,6.0850E+00      
ABELL_0400                ,2.4302E-01      ,2.0847E-03      ,1.2464E+02      ,1.9994E+00      
ABELL_0426                ,1.16E-01,1.2686E-02      ,1.1747E+02      ,6.5781E+00      
ABELL_0496                ,8.03E-02,5.6211E-03      ,1.8928E+02      ,5.9637E+00      
ABELL_0539                ,3.1386E-01      ,1.5614E-03      ,1.5729E+02      ,1.9406E+00      
ABELL_0576                ,1.7923E-01      ,3.9810E-03      ,1.6224E+02      ,3.9802E+00      
ABELL_0754                ,3.9540E-01      ,3.5044E-03      ,3.7450E+02      ,9.2047E+00      
ABELL_1060                ,5.61E-02,1.2847E-02      ,6.0598E+01      ,3.0517E+00      
ABELL_1644                ,2.94E-01,3.2306E-03      ,2.3237E+02      ,5.2856E+00      
ABELL_1650                ,2.79E-01,4.0978E-03      ,2.0906E+02      ,5.0276E+00      
ABELL_1651                ,2.98E-01,1.4530E-03      ,5.1999E+02      ,6.0208E+00      
ABELL_1736                ,2.72E-01,1.9918E-03      ,1.8127E+02      ,2.8261E+00      
ABELL_1795                ,3.7941E-01      ,1.0158E-03      ,6.8242E+02      ,6.6689E+00      
ABELL_2029                ,5.0015E-01      ,7.3435E-04      ,1.0636E+03      ,8.7117E+00      
ABELL_2052                ,1.23E-01,6.7960E-03      ,9.8939E+01      ,3.5531E+00      
ABELL_2063                ,2.8889E-01      ,1.6803E-03      ,2.6880E+02      ,4.1748E+00      
ABELL_2065                ,5.4079E-01      ,1.3459E-03      ,6.1387E+02      ,8.2550E+00      
ABELL_2142                ,4.00E-01,1.4546E-03      ,8.4879E+02      ,1.0902E+01      
ABELL_2147                ,1.99E-01,1.1500E-03      ,3.7600E+02      ,4.0223E+00      
ABELL_2151                ,7.52E-02,3.3646E-03      ,1.0774E+02      ,2.4738E+00      
ABELL_2199                ,1.0439E-01      ,1.5072E-02      ,7.8697E+01      ,4.9312E+00      
ABELL_2204                ,1.0463E+00      ,7.1508E-04      ,4.0082E+02      ,2.7965E+00      
ABELL_2244                ,3.19E-01,5.3281E-03      ,1.7997E+02      ,5.5030E+00      
ABELL_2255                ,7.2598E-01      ,1.3549E-03      ,3.5105E+02      ,4.1090E+00      
ABELL_2256                ,5.0052E-01      ,3.3556E-03      ,2.5259E+02      ,5.1159E+00      
ABELL_3158                ,4.7754E-01      ,2.6248E-03      ,2.2407E+02      ,4.1500E+00      
ABELL_3391                ,4.6321E-01      ,2.4346E-03      ,3.2041E+02      ,5.6395E+00      
ABELL_3395                ,2.01E-01,2.4785E-03      ,3.1976E+02      ,5.5694E+00      
ABELL_3558                ,1.7141E-01      ,6.1044E-03      ,1.9121E+02      ,6.1588E+00      
ABELL_3562                ,1.4948E-01      ,1.3306E-03      ,3.7977E+02      ,4.6631E+00      
ABELL_4038                ,2.01E-01,1.5645E-03      ,2.0829E+02      ,2.7847E+00      
