Nombre,Dvel,Rvir,Mvir,Hz,A
A085A,1362.959924,1.545551636,3.926211007,16.95158471,S
A0119,1089.497627,1.705808047,5.229081121,16.38231621,S
A0133A,861.757194,0.951315657,0.918135031,15.80826861,S
A0399,1271.251823,1.911998794,7.55384323,16.79351985,U
A0400,352.4257369,0.632443479,0.261489963,13.54175119,S
A0426A,1195.439558,1.18467097,1.70934125,16.58990339,P
A0496,198.0807994,0.312331085,0.031771378,12.11009005,S
A0539,967.899065,1.2779429,2.168045798,16.07240819,S
A0576,457.930882,0.736765626,0.419308709,14.21062162,S
A0754_,993.934407,1.515527216,3.703439055,16.16266725,M
A1060L,613.7698426,0.606506206,0.228674616,14.92023328,P
A1644,822.7634668,1.231582945,1.974539201,15.68362356,P
A1650,750.2477691,1.107952871,1.490391178,15.48902272,U
A1651,1028.561563,1.379766685,2.880201615,16.27842594,P
A1736A,277.647836,0.49356691,0.125659432,12.9565119,S
A1795,831.5398384,1.245114417,2.069681519,15.72442796,U
A2029,1152.242376,1.322217436,2.513211336,16.55381126,U
A2052,853.3297994,0.880861719,0.71401821,15.76309981,S
A2063A,747.2903656,1.111478655,1.43401567,15.43105695,P
A2065,1253.613338,1.905381167,7.49900069,16.76170435,U
A2142,920.2371899,1.429507099,3.22135323,16.00590854,P
A2147,820.8091279,1.055678056,1.229831647,15.66657145,M
A2151,32.8563119,0.10134342,0.001083993,7.617494123,M
A2199,973.9466695,0.92508025,0.823821353,16.08973164,P
A2204A,1185.17885,2.332489303,14.87946396,16.69981371,S
A2244_,1261.460938,1.598780807,4.54603946,16.80311436,U
A2255,1152.955634,2.027212746,9.093285256,16.55927838,S
A2256,1297.80275,1.930074465,7.670774668,16.83232914,S
A3158,1155.748456,1.72152945,5.45197063,16.54411384,S
A3391,694.8483453,1.238668476,2.024835883,15.26912919,U
A3395,897.1425511,1.157584225,1.644411676,15.90293127,M
A3558,996.5952875,1.169721674,1.693211896,16.16370912,P
A3562,312.5802241,0.478134492,0.115744187,13.26588722,U
A4038A,753.4256719,0.977965914,0.972334219,15.4468791,S
