Name,Dvel,Rvir,Mvir,A,Hz
ABELL_0085                ,1045,2.668,20.2,3,16.26
ABELL_0119                ,853,2.082,9.51,3,15.77
ABELL_0133                ,778,1.899,7.3,3,15.55
ABELL_0399                ,950,2.209,11.7,1,16.07
ABELL_0400                ,343,0.87,0.68,3,13.47
ABELL_0426                ,1029,2.359,13.5,2,16.22
ABELL_0496                ,712,1.822,6.31,3,15.31
ABELL_0539                ,698,1.557,3.92,3,15.26
ABELL_0576                ,866,2.202,11.2,3,15.8
ABELL_0754                ,820,2.045,9.1,4,15.68
ABELL_1060                ,678,1.574,3.99,2,15.17
ABELL_1644                ,1008,2.365,14,2,16.19
ABELL_1650                ,723,1.903,7.55,1,15.4
ABELL_1651                ,876,2.25,12.5,2,15.88
ABELL_1736                ,386,1.075,1.3,3,13.78
ABELL_1795                ,780,1.876,7.09,1,15.56
ABELL_2029                ,931,1.931,7.82,1,16.02
ABELL_2052                ,648,1.6,4.28,3,15.08
ABELL_2063                ,762,1.809,6.18,2,15.48
ABELL_2065                ,1043,2.504,17,1,16.3
ABELL_2142                ,828,2.157,11.1,2,15.74
ABELL_2147                ,935,2.466,15.7,4,15.99
ABELL_2151                ,768,1.999,8.35,4,15.5
ABELL_2199                ,779,1.907,7.21,2,15.53
ABELL_2204                ,1101,2.588,20.3,3,16.51
ABELL_2244                ,1161,2.546,18.3,1,16.6
ABELL_2255                ,1000,2.47,16.4,3,16.2
ABELL_2256                ,1222,2.683,20.6,3,16.68
ABELL_3158                ,1066,2.353,13.9,3,16.34
ABELL_3391                ,817,1.936,7.74,1,15.67
ABELL_3395                ,746,1.823,6.42,4,15.44
ABELL_3558                ,955,2.46,15.8,2,16.06
ABELL_3562                ,594,1.549,3.94,1,14.87
ABELL_4038                ,753,1.789,5.95,3,15.45
