Name,R (1/3) R500X-ray,nelec,Tx,S,Dvel,Rvir,Mvir,A,Hz,CC
ABELL_0085                ,2.51E-01,2.66E-03,7.51E+00,7.51E+00,1045,2.668,20.2,S,16.26,S
ABELL_0119                ,2.83E-01,1.01E-03,5.73E+00,5.73E+00,853,2.082,9.51,S,15.77,N
ABELL_0133                ,1.38E-01,3.38E-03,4.55E+00,4.55E+00,778,1.899,7.3,S,15.55,"S,s"
ABELL_0399                ,3.35E-01,1.21E-03,6.73E+00,6.73E+00,950,2.209,11.7,U,16.07,N
ABELL_0400                ,1.95E-01,8.37E-04,2.12E+00,2.12E+00,343,0.87,0.68,S,13.47,N
ABELL_0401,2.17E-01,2.08E-03,2.00E+00,1.25E+02,343,0.87,0.68,S,13.47,N
ABELL_0426                ,1.16E-01,1.27E-02,6.58E+00,6.58E+00,1029,2.359,13.5,P,16.22,"S,s"
ABELL_0496                ,8.03E-02,5.62E-03,5.96E+00,5.96E+00,712,1.822,6.31,S,15.31,"S,s"
ABELL_0539                ,2.33E-01,6.70E-04,2.56E+00,2.56E+00,698,1.557,3.92,S,15.26,N
ABELL_0576                ,1.79E-01,3.98E-03,3.98E+00,3.98E+00,866,2.202,11.2,S,15.8,W
ABELL_0754                ,3.43E-01,1.48E-03,7.55E+00,7.55E+00,820,2.045,9.1,M,15.68,N
ABELL_1060                ,5.61E-02,1.28E-02,3.05E+00,3.05E+00,678,1.574,3.99,P,15.17,W/S
ABELL_1644                ,2.94E-01,3.23E-03,5.29E+00,5.29E+00,1008,2.365,14,P,16.19,"S,s"
ABELL_1650                ,2.79E-01,4.10E-03,5.03E+00,5.03E+00,723,1.903,7.55,U,15.4,W
ABELL_1651                ,2.98E-01,1.45E-03,6.02E+00,6.02E+00,876,2.25,12.5,P,15.88,W
ABELL_1736                ,2.72E-01,1.99E-03,2.83E+00,2.83E+00,386,1.075,1.3,S,13.78,N
ABELL_1795                ,3.68E-01,1.15E-03,6.89E+00,6.89E+00,780,1.876,7.09,U,15.56,S
ABELL_2029                ,4.04E-01,1.43E-03,1.59E+02,1.59E+02,931,1.931,7.82,U,16.02,"S,s"
ABELL_2052                ,1.23E-01,6.80E-03,3.55E+00,3.55E+00,648,1.6,4.28,S,15.08,"S,s"
ABELL_2063                ,2.72E-01,1.03E-03,3.94E+00,3.94E+00,762,1.809,6.18,P,15.48,W
ABELL_2065                ,3.15E-01,1.28E-03,5.60E+00,5.60E+00,1043,2.504,17,U,16.3,W
ABELL_2142                ,4.00E-01,1.45E-03,1.09E+01,1.09E+01,828,2.157,11.1,P,15.74,"W,s"
ABELL_2147                ,1.99E-01,1.15E-03,4.02E+00,4.02E+00,935,2.466,15.7,M,15.99,N
ABELL_2151                ,7.52E-02,3.36E-03,2.47E+00,2.47E+00,768,1.999,8.35,M,15.5,
ABELL_2199                ,1.04E-01,1.04E-01,4.93E+00,4.93E+00,779,1.907,7.21,P,15.53,"S,s"
ABELL_2204                ,4.19E-01,1.23E-03,8.82E+00,8.82E+00,1101,2.588,20.3,S,16.51,"S,s"
ABELL_2244                ,3.19E-01,5.33E-03,5.50E+00,5.50E+00,1161,2.546,18.3,U,16.6,W
ABELL_2255                ,3.22E-01,1.08E-03,6.53E+00,6.53E+00,1000,2.47,16.4,S,16.2,N
ABELL_2256                ,3.31E-01,1.68E-03,6.82E+00,6.82E+00,1222,2.683,20.6,S,16.68,S
ABELL_3112,3.74E-01,3.36E-03,5.12E+00,2.53E+02,1222,2.683,20.6,S,16.68,N
ABELL_3158                ,3.15E-01,3.21E-01,4.65E+00,4.65E+00,1066,2.353,13.9,S,16.34,N
ABELL_3391                ,2.68E-01,1.26E-03,5.36E+00,5.36E+00,817,1.936,7.74,U,15.67,N
ABELL_3395                ,2.01E-01,2.48E-03,5.57E+00,5.57E+00,746,1.823,6.42,M,15.44,N
ABELL_3526A,3.67E-01,6.10E-03,6.16E+00,1.91E+02,955,2.46,15.8,P,16.06,"W,s"
ABELL_3558                ,1.71E-01,6.10E-03,6.16E+00,6.16E+00,955,2.46,15.8,P,16.06,"S,s"
ABELL_3562                ,1.49E-01,1.33E-03,4.66E+00,4.66E+00,594,1.549,3.94,U,14.87,W
ABELL_4038                ,2.01E-01,1.56E-03,2.78E+00,2.78E+00,753,1.789,5.95,S,15.45,"S,s"
MKW3S,,1.33E-03,1.62E+00,1.68E+02,607,1.49,3.46,U,14.92,
